org_name,Number_of_pubs,Num_Ref
Tsinghua University,9399.0,12130
Shanghai Jiao Tong University,7841.0,3549
Harbin Institute of Technology,7436.0,2292
Beihang University,6918.0,1837
Zhejiang University,6916.0,3581
University of Chinese Academy of Sciences,6168.0,743
Nanyang Technological University,6080.0,4028
Wuhan University,5351.0,197
Carnegie Mellon University,5055.0,4364
Peking University,5003.0,3957
Beijing Institute of Technology,4819.0,584
National University of Singapore,4665.0,4081
Huazhong University of Science and Technology,4662.0,2060
Xidian University,4655.0,1434
University of Tokyo,4532.0,2266
University of Electronic Science and Technology of China,4407.0,1280
Xi'an Jiaotong University,4406.0,2764
National University of Defense Technology,4381.0,120
Northeastern University,4367.0,504
University of Science and Technology of China,4286.0,11286
Northwestern Polytechnical University,4274.0,1132
Chinese Academy of Sciences,4204.0,916
Tianjin University,4152.0,1626
"Anna University, Chennai",4143.0,2
Institute of Automation,4085.0,735
Massachusetts Institute of Technology,3907.0,4523
Beijing University of Posts and Telecommunications,3700.0,962
Technical University of Munich,3691.0,1755
South China University of Technology,3630.0,941
University College London,3625.0,6332
Stanford University,3520.0,7205
Southeast University,3483.0,1040
Microsoft,3346.0,128472
Dalian University of Technology,3328.0,181
Imperial College London,3258.0,3762
Georgia Institute of Technology,3223.0,2512
Nanjing University,3220.0,697
Sun Yat-sen University,3196.0,312
University of Southern California,3160.0,1135
Shandong University,3159.0,358
Hong Kong Polytechnic University,3087.0,357
Korea Advanced Institute of Science and Technology,2955.0,1037
Nanjing University of Science and Technology,2947.0,301
Chinese University of Hong Kong,2945.0,9201
Tongji University,2937.0,213
University of Technology Sydney,2929.0,1757
University of Toronto,2904.0,21941
Seoul National University,2879.0,687
University of Illinois at Urbana Champaign,2869.0,16441
National Taiwan University,2867.0,3518
Johns Hopkins University,2829.0,4774
University of Michigan,2773.0,1611
Shanghai University,2765.0,59
ETH Zurich,2761.0,4812
Beijing Jiaotong University,2754.0,65
University of São Paulo,2726.0,186
French National Centre for Scientific Research,2706.0,37
"University of California, Berkeley",2679.0,5024
University of Oxford,2661.0,7628
IBM,2659.0,35326
UNSW Sydney,2577.0,295
Jilin University,2503.0,129
KU Leuven,2493.0,6596
University of Waterloo,2475.0,1889
Delft University of Technology,2454.0,356
Xiamen University,2447.0,652
Shenzhen University,2440.0,227
University of Sydney,2416.0,592
Sichuan University,2403.0,183
Ministry of Education of the People's Republic of China,2381.0,153
University of Pennsylvania,2376.0,2643
Beijing University of Technology,2372.0,70
Harvard University,2370.0,2724
Chongqing University,2370.0,256
City University of Hong Kong,2342.0,778
"University of California, Los Angeles",2326.0,4077
Swiss Federal Institute of Technology in Lausanne,2320.0,1280
University of Cambridge,2288.0,3170
University of Lisbon,2272.0,21
Nanjing University of Aeronautics and Astronautics,2271.0,43
University of Tehran,2270.0,63
Osaka University,2237.0,57
Central South University,2233.0,60
Harbin Engineering University,2232.0,51
University of British Columbia,2173.0,960
Arizona State University,2158.0,896
University of Alberta,2150.0,130
Fudan University,2111.0,1482
Waseda University,2102.0,46
"University of California, San Diego",2074.0,1092
Wuhan University of Technology,2057.0,7
University of Granada,2012.0,32
University of Washington,2005.0,3607
"University of Maryland, College Park",1987.0,1500
Columbia University,1976.0,6011
Yonsei University,1955.0,467
Purdue University West Lafayette,1955.0,2484
Hefei University of Technology,1948.0,286
University of Edinburgh,1918.0,7696
Korea University,1900.0,150
Kyoto University,1900.0,169
"Rutgers, The State University of New Jersey",1885.0,883
Google,1033.0,52835
Facebook,173.0,24371
Amazon,138.0,1728
Apple,72.0,1136
